% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1393,1,16.08,?,2024,'october 2024',?,'astromech droid qt-kt'
sw1392,1,4.58,?,2024,'october 2024',?,'female rebel fleet trooper'
sw1391,1,4.12,?,2024,'october 2024',?,'rebel fleet trooper'
sw1382,1,5.61,?,2024,'september 2024',seasonal,'luke skywalker holiday sweater'
sw1381,1,5.42,?,2024,'september 2024',seasonal,'princess leia holiday sweater'
sw1380,1,2.60,?,2024,'august 2024','rebuild the galaxy',servo
sw1379,1,11.86,?,2024,'august 2024','rebuild the galaxy','jedi bob'
sw1378,1,5.74,?,2024,'august 2024','rebuild the galaxy','ackbar trooper'
sw1377,1,28.37,?,2024,'august 2024','episode iv','cal kestis'
sw1376,1,5.60,?,2024,'august 2024','episode iv','imperial gunner'
sw1375,1,5.85,?,2024,'august 2024','episode iv','imperial navy trooper'
sw1374,1,12.49,?,2024,'august 2024','episode iv','commander praji'
sw1373,1,7.58,?,2024,'august 2024','episode iv','imperial crew'
sw1372,1,19.66,?,2024,'august 2024','episode vi','nien nunb'
sw1371,1,3.50,?,2024,'august 2024','episode vi','han solo'
sw1370,1,6.03,?,2024,'august 2024','episode vi','luke skywalker'
sw1369,1,7.22,?,2024,'august 2024','episode vi','lando calrissian'
sw1368,1,11.11,?,2024,'august 2024','rebuild the galaxy','bounty hunter c-3po'
sw1367,1,14.93,?,2024,'august 2024','rebuild the galaxy','darth jar jar'
sw1366,1,12.27,?,2024,'august 2024','rebuild the galaxy','darth dev'
sw1365,1,10.35,?,2024,'august 2024','rebuild the galaxy','beach luke'
sw1364,1,15.16,?,2024,'august 2024','rebuild the galaxy','darth rey'
sw1363,1,17.60,?,2024,'august 2024','rebuild the galaxy','jedi vader'
sw1362,1,17.49,?,2024,'august 2024','rebuild the galaxy','l3-go astromech droid'
sw1361,1,10.28,?,2024,'august 2024','rebuild the galaxy','sig greebling'
sw1360,1,9.84,?,2024,'august 2024','rebuild the galaxy','yesi scala'
sw1359,1,10.08,?,2024,'august 2024','rebuild the galaxy','rebel pilot'
sw1358,1,11.64,?,2024,'august 2024',ahsoka,'night trooper'
sw1357,1,13.19,?,2024,'august 2024',ahsoka,'morgan elsbeth'
sw1356,1,14.53,?,2024,'august 2024',ahsoka,'grand admiral thrawn'
sw1355,1,6.22,?,2024,'august 2024',ahsoka,'ezra bridger'
sw1354,1,7.11,?,2024,'august 2024',ahsoka,'ahsoka tano'
sw1353,1,10.90,?,2024,'august 2024','skeleton crew',jod
sw1352,1,8.80,?,2024,'august 2024','skeleton crew',kb
sw1351,1,8.75,?,2024,'august 2024','skeleton crew',fern
sw1350,1,24.37,?,2024,'august 2024','skeleton crew',neel
sw1349,1,8.76,?,2024,'august 2024','skeleton crew',wim
sw1348,1,48.59,?,2024,'august 2024',?,'young princess leia'
sw1346,1,3.12,?,2024,'june 2024','the mandalorian','imperial commando'
sw1345,1,2.91,?,2024,'june 2024','the mandalorian','mandalorian warrior'
sw1344,1,2.94,?,2024,'june 2024','the mandalorian','mandalorian nite owl'
sw1343,2,2.88,?,2024,'june 2024','the mandalorian','imperial praetorian guard'
sw1342,1,8.19,?,2024,'june 2024','the mandalorian','moff gideon'
sw1341,1,5.41,?,2024,'june 2024','the mandalorian','paz vizsla'
sw1339,1,2.70,?,2024,'may 2024','ultimate collector series','mouse droid'
sw1338,1,8.06,88.87,2024,'may 2024','episode i','battle droid pilot'
sw1337,2,3.07,?,2024,'may 2024','the mandalorian','clone trooper'
sw1336,1,5.66,?,2024,'may 2024','the mandalorian','kelleran beq'
sw1335,1,27.34,?,2024,'may 2024','episode i','saw gerrera'
sw1334,1,8.93,?,2024,'may 2024','episode i','qui-gon jinn'
sw1333,1,6.86,?,2024,'may 2024','episode i','darth maul'
sw1332,1,3.62,?,2024,'may 2024','episode i','anakin skywalker'
sw1331,1,52.87,?,2024,'may 2024','ultimate collector series','imperial tie interceptor pilot'
